step,run,clock_begin,time,x,y,collision,wheelpos,throttlepos,velocity,chosenvel
0,1,2.43809910190182e-07,2017-10-27 15:16:45.817000,-0.010742,1.5,0,-5.371,1000.0,1.5,1.5
1,1,0.000258194694891402,2017-10-27 15:16:45.817000,-0.021484,3.0,0,-5.371,1000.0,1.5,1.5
2,1,0.012759547839893,2017-10-27 15:16:45.830000,-0.032226,4.5,0,-5.371,1000.0,1.5,1.5
3,1,0.0255098309031987,2017-10-27 15:16:45.844000,-0.042968,6.0,0,-5.371,1000.0,1.5,1.5
4,1,0.0528436037445301,2017-10-27 15:16:45.871000,-0.05371,7.5,0,-5.371,1000.0,1.5,1.5
5,1,0.0529006552635146,2017-10-27 15:16:45.871000,-0.064452,9.0,0,-5.371,1000.0,1.5,1.5
6,1,0.0656168049393937,2017-10-27 15:16:45.884000,-0.075194,10.5,0,-5.371,1000.0,1.5,1.5
7,1,0.078651126548071,2017-10-27 15:16:45.897000,-0.085936,12.0,0,-5.371,1000.0,1.5,1.5
8,1,0.106852131239949,2017-10-27 15:16:45.925000,-0.096678,13.5,0,-5.371,1000.0,1.5,1.5
9,1,0.106905525610281,2017-10-27 15:16:45.925000,-0.10742,15.0,0,-5.371,1000.0,1.5,1.5
10,1,0.119761378364699,2017-10-27 15:16:45.938000,-0.118162,16.5,0,-5.371,1000.0,1.5,1.5
11,1,0.132795212353556,2017-10-27 15:16:45.951000,-0.128904,18.0,0,-5.371,1000.0,1.5,1.5
12,1,0.160650006972963,2017-10-27 15:16:45.978000,-0.139646,19.5,0,-5.371,1000.0,1.5,1.5
13,1,0.160707302301858,2017-10-27 15:16:45.978000,-0.150388,21.0,0,-5.371,1000.0,1.5,1.5
14,1,0.17320841163695,2017-10-27 15:16:45.991000,-0.16113,22.5,0,-5.371,1000.0,1.5,1.5
15,1,0.185936507998428,2017-10-27 15:16:46.004000,-0.171872,24.0,0,-5.371,1000.0,1.5,1.5
16,1,0.215772501948041,2017-10-27 15:16:46.033000,-0.182614,25.5,0,-5.371,1000.0,1.5,1.5
17,1,0.21582223916972,2017-10-27 15:16:46.033000,-0.193356,27.0,0,-5.371,1000.0,1.5,1.5
18,1,0.228323836124632,2017-10-27 15:16:46.046000,-0.204098,28.5,0,-5.371,1000.0,1.5,1.5
19,1,0.241083140154614,2017-10-27 15:16:46.059000,-0.21484,30.0,0,-5.371,1000.0,1.5,1.5
20,1,0.271292407076729,2017-10-27 15:16:46.089000,-0.225582,31.5,0,-5.371,1000.0,1.5,1.5
21,1,0.271341900488498,2017-10-27 15:16:46.089000,-0.236324,33.0,0,-5.371,1000.0,1.5,1.5
22,1,0.284199459912287,2017-10-27 15:16:46.102000,-0.247066,34.5,0,-5.371,1000.0,1.5,1.5
23,1,0.297237438669617,2017-10-27 15:16:46.115000,-0.257808,36.0,0,-5.371,1000.0,1.5,1.5
24,1,0.326413195382435,2017-10-27 15:16:46.144000,-0.26855,37.5,0,-5.371,1000.0,1.5,1.5
25,1,0.326461225934743,2017-10-27 15:16:46.144000,-0.279292,39.0,0,-5.371,1000.0,1.5,1.5
26,1,0.339345848258563,2017-10-27 15:16:46.157000,-0.290034,40.5,0,-5.371,1000.0,1.5,1.5
27,1,0.35237943843751,2017-10-27 15:16:46.170000,-0.300776,42.0,0,-5.371,1000.0,1.5,1.5
28,1,0.381892628066032,2017-10-27 15:16:46.199000,-0.31164,43.5,0,-5.432,1000.0,1.5,1.5
29,1,0.38194163385798,2017-10-27 15:16:46.199000,-0.322504,45.0,0,-5.432,1000.0,1.5,1.5
30,1,0.39449272422466,2017-10-27 15:16:46.212000,-0.33349,46.5,0,-5.493,1000.0,1.5,1.5
31,1,0.407526314403607,2017-10-27 15:16:46.226000,-0.34472,48.0,0,-5.615,1000.0,1.5,1.5
32,1,0.438081303778371,2017-10-27 15:16:46.256000,-0.35772,49.5,0,-6.5,1000.0,1.5,1.5
33,1,0.438133479099152,2017-10-27 15:16:46.256000,-0.37072,51.0,0,-6.5,1000.0,1.5,1.5
34,1,0.450642146541459,2017-10-27 15:16:46.269000,-0.384636,52.5,0,-6.958,1000.0,1.5,1.5
35,1,0.463675980530316,2017-10-27 15:16:46.282000,-0.399712,54.0,0,-7.538,1000.0,1.5,1.5
36,1,0.494604974307312,2017-10-27 15:16:46.312000,-0.41851,55.5,0,-9.399,1000.0,1.5,1.5
37,1,0.494659100107374,2017-10-27 15:16:46.312000,-0.437308,57.0,0,-9.399,1000.0,1.5,1.5
38,1,0.507159965632555,2017-10-27 15:16:46.325000,-0.45745,58.5,0,-10.071,1000.0,1.5,1.5
39,1,0.519826134276845,2017-10-27 15:16:46.338000,-0.478752,60.0,0,-10.651,1000.0,1.5,1.5
40,1,0.551733293413524,2017-10-27 15:16:46.369000,-0.501762,61.5,0,-11.505,1000.0,1.5,1.5
41,1,0.551784493494664,2017-10-27 15:16:46.369000,-0.524772,63.0,0,-11.505,1000.0,1.5,1.5
42,1,0.564285846639666,2017-10-27 15:16:46.382000,-0.547782,64.5,0,-11.505,1000.0,1.5,1.5
43,1,0.576976883894795,2017-10-27 15:16:46.395000,-0.570792,66.0,0,-11.505,1000.0,1.5,1.5
44,1,0.609551594565575,2017-10-27 15:16:46.427000,-0.593802,67.5,0,-11.505,1000.0,1.5,1.5
45,1,0.609600600357523,2017-10-27 15:16:46.427000,-0.616812,69.0,0,-11.505,1000.0,1.5,1.5
46,1,0.622101709692614,2017-10-27 15:16:46.440000,-0.639822,70.5,0,-11.505,1000.0,1.5,1.5
47,1,0.635132130342728,2017-10-27 15:16:46.453000,-0.662832,72.0,0,-11.505,1000.0,1.5,1.5
48,1,0.667733660103629,2017-10-27 15:16:46.485000,-0.685842,73.5,0,-11.505,1000.0,1.5,1.5
49,1,0.667784860184769,2017-10-27 15:16:46.485000,-0.708852,75.0,0,-11.505,1000.0,1.5,1.5
50,1,0.68028621332977,2017-10-27 15:16:46.498000,-0.731862,76.5,0,-11.505,1000.0,1.5,1.5
51,1,0.693285670121291,2017-10-27 15:16:46.511000,-0.754872,78.0,0,-11.505,1000.0,1.5,1.5
52,1,0.726171238427563,2017-10-27 15:16:46.543000,-0.77721,79.5,0,-11.169,1000.0,1.5,1.5
53,1,0.726223413748343,2017-10-27 15:16:46.543000,-0.799548,81.0,0,-11.169,1000.0,1.5,1.5
54,1,0.738724523083435,2017-10-27 15:16:46.556000,-0.821642,82.5,0,-11.047,1000.0,1.5,1.5
55,1,0.751442379428685,2017-10-27 15:16:46.569000,-0.843736,84.0,0,-11.047,1000.0,1.5,1.5
56,1,0.78530611309464,2017-10-27 15:16:46.603000,-0.865708,85.5,0,-10.986,1000.0,1.5,1.5
57,1,0.785362189373984,2017-10-27 15:16:46.603000,-0.88768,87.0,0,-10.986,1000.0,1.5,1.5
58,1,0.797863542518986,2017-10-27 15:16:46.616000,-0.909652,88.5,0,-10.986,1000.0,1.5,1.5
59,1,0.81059895317777,2017-10-27 15:16:46.629000,-0.931624,90.0,0,-10.986,1000.0,1.5,1.5
60,1,0.844884234178443,2017-10-27 15:16:46.663000,-0.953474,91.5,0,-10.925,1000.0,1.5,1.5
61,1,0.844945186655991,2017-10-27 15:16:46.663000,-0.975324,93.0,0,-10.925,1000.0,1.5,1.5
62,1,0.85772545833825,2017-10-27 15:16:46.676000,-0.996808,94.5,0,-10.742,1000.0,1.5,1.5
63,1,0.870759048517197,2017-10-27 15:16:46.689000,-1.017866,96.0,0,-10.529,1000.0,1.5,1.5
64,1,0.904036419349145,2017-10-27 15:16:46.722000,-1.036542,97.5,0,-9.338,1000.0,1.5,1.5
65,1,0.904090545149207,2017-10-27 15:16:46.722000,-1.055218,99.0,0,-9.338,1000.0,1.5,1.5
66,1,0.916882763517065,2017-10-27 15:16:46.735000,-1.07249,100.5,0,-8.636,1000.0,1.5,1.5
67,1,0.929916597505922,2017-10-27 15:16:46.748000,-1.088848,102.0,0,-8.179,1000.0,1.5,1.5
68,1,0.963581138475252,2017-10-27 15:16:46.781000,-1.102214,103.5,0,-6.683,1000.0,1.5,1.5
