run,x,y,wheelpos,velocity
1,-0.0003904,1.6,-0.183,1.6
1,-0.0007808,3.2,-0.183,1.6
1,-0.0011712,4.8,-0.183,1.6
1,-0.0015616,6.4,-0.183,1.6
1,-0.001952,8.0,-0.183,1.6
1,-0.0023424,9.6,-0.183,1.6
1,-0.0027328,11.2,-0.183,1.6
1,-0.0031232,12.8,-0.183,1.6
1,-0.0035136,14.4,-0.183,1.6
1,-0.003904,16.0,-0.183,1.6
1,-0.0042944,17.6,-0.183,1.6
1,-0.0046848,19.2,-0.183,1.6
1,-0.0050752,20.8,-0.183,1.6
1,-0.0054656,22.4,-0.183,1.6
1,-0.005856,24.0,-0.183,1.6
1,-0.0062464,25.6,-0.183,1.6
1,-0.0066368,27.2,-0.183,1.6
1,-0.0070272,28.8,-0.183,1.6
1,-0.0074176,30.4,-0.183,1.6
1,-0.007808,32.0,-0.183,1.6
1,-0.0081984,33.6,-0.183,1.6
1,-0.0085888,35.2,-0.183,1.6
1,-0.0089792,36.8,-0.183,1.6
1,-0.0093696,38.4,-0.183,1.6
1,-0.00976,40.0,-0.183,1.6
1,-0.0101504,41.6,-0.183,1.6
1,-0.0105408,43.2,-0.183,1.6
1,-0.0109312,44.8,-0.183,1.6
1,-0.0113216,46.4,-0.183,1.6
1,-0.011712,48.0,-0.183,1.6
1,-0.0121024,49.6,-0.183,1.6
1,-0.0124928,51.2,-0.183,1.6
1,-0.0128832,52.8,-0.183,1.6
1,-0.0132736,54.4,-0.183,1.6
1,-0.013664,56.0,-0.183,1.6
1,-0.0140544,57.6,-0.183,1.6
1,-0.0144448,59.2,-0.183,1.6
1,-0.0148352,60.8,-0.183,1.6
1,-0.0152256,62.4,-0.183,1.6
1,-0.015616,64.0,-0.183,1.6
1,-0.0160064,65.6,-0.183,1.6
1,-0.0163968,67.2,-0.183,1.6
1,-0.0167872,68.8,-0.183,1.6
1,-0.0171776,70.4,-0.183,1.6
1,-0.017568,72.0,-0.183,1.6
1,-0.0179584,73.6,-0.183,1.6
1,-0.0183488,75.2,-0.183,1.6
1,-0.0187392,76.8,-0.183,1.6
1,-0.0191296,78.4,-0.183,1.6
1,-0.01952,80.0,-0.183,1.6
1,-0.0199104,81.6,-0.183,1.6
1,-0.0203008,83.2,-0.183,1.6
1,-0.0206912,84.8,-0.183,1.6
1,-0.0210816,86.4,-0.183,1.6
1,-0.021472,87.9999999999999,-0.183,1.6
1,-0.0218624,89.5999999999999,-0.183,1.6
1,-0.0222528,91.1999999999999,-0.183,1.6
